"","total_route","single_distance","single_cargo_weight","single_cargo_volume","total_travel_time"
"1638",1652,0,41,24,46
"1639",1651,0,55.5,32.5,40
"1640",1650,0,48,28,38
"1641",1649,0,45.5,26.5,10
"1642",1648,0,12,7,22
"1643",1647,0,24.5,13.5,44
"1644",1646,0,54,32,46
"1645",1645,0,54,31,2
"1646",1655,0.000173977629956088,2.5,1.5,40.0000028996272
"1647",1745,0,48.5,28.5,36
"1648",1750,0,44.5,26.5,18
"1649",1796,0.00607562887305293,20,11,22.0001012604812
"1650",1799,0,24,13,30
"1651",1814,0.00582566559506686,37.5,22.5,12.0000970944266
"1652",1836,0.00739728685280268,12,6,50.0001232881142
"1653",1835,0,59.5,34.5,22
"1654",1834,0,23,12,38
"1655",1833,0,46.5,27.5,2
"1656",1832,0,2.5,1.5,42
"1657",1831,0,51.5,30.5,36
"1658",1830,0,43,25,6
"1659",1829,0,6.5,3.5,24
"1660",1828,0,27.5,15.5,38
"1661",1827,0,45,26,6
"1662",1826,0,6,3,26
"1663",1825,0,28,15,42
"1664",1824,0,51.5,30.5,28
"1665",1823,0,32.5,18.5,22
"1666",1822,0,27,16,8
"1667",1821,0,9,5,48
"1668",1820,0,57,33,52
"1669",1819,0,60.5,34.5,24
"1670",1838,5.79908591638169e-05,26,14,24.0000009665143
"1671",1844,0.00539255928122655,25.5,13.5,40.000089875988
"1672",1846,0.00789483979185768,49,29,12.0001315806632
"1673",1849,0.00519372741739758,12.5,6.5,34.0000865621236
"1674",1854,0,39.5,22.5,18
"1675",1861,0,19.5,10.5,50
"1676",1860,0.000353172369915769,60,35,16.0000058862062
"1677",1859,0,17.5,9.5,18
"1678",1858,0,21.5,12.5,34
"1679",1857,0,39.5,22.5,26
"1680",1856,0,28.5,15.5,22
"1681",1855,0,24.5,13.5,24
"1682",1853,0.000250816992631423,27.5,15.5,38.0000041802832
"1683",1852,0,43.5,24.5,26
"1684",1851,0,28.5,15.5,8
"1685",1850,0,9,5,26
"1686",1862,0.000602424653311382,31.5,18.5,10.0000100404109
"1687",1866,0,10.5,5.5,52
"1688",1870,0.00173124269701759,60.5,34.5,34.0000288540449
"1689",1869,0,40,23,22
"1690",1868,0,23,12,42
"1691",1873,0.00159514034247175,49.5,28.5,46.0000265856724
"1692",1872,0,53,30,30
"1693",1876,0.00160878578597889,36,21,20.0000268130964
"1694",1875,0,25,15,36
"1695",1879,0.00546531062940606,42.5,24.5,22.0000910885105
"1696",1878,0.000353172399656813,27.5,16.5,24.0000058862067
"1697",1865,0.00509150781129315,29,17,26.0000848584635
"1698",1864,0,32,19,46
"1699",1863,0,52.5,29.5,42
"1700",1848,0.00313709264993019,49,28,8.0000522848775
"1701",1801,0.0170669775948665,10,6,38.0002844496266
"1702",1755,0.00634688294662517,44,25,28.0001057813824
"1703",306,0.00982331562088564,33.5,19.5,26.000163721927
"1704",336,0.00672951701543964,28.5,15.5,46.0001121586169
"1705",341,0,54,31,32
"1706",1425,0.0321556566762453,35.5,19.5,6.00053592761127
"1707",1435,0,6.5,3.5,30
"1708",1447,0,33.5,18.5,16
"1709",361,0.00190588929565059,19.5,11.5,42.0000317648216
"1710",1448,0.00190588929565059,50.5,29.5,8.00003176482159
"1711",1752,0.00270030986352901,8.5,4.5,28.0000450051644
"1712",1754,0,34.5,20.5,10
"1713",342,0.0136375212473139,11.5,6.5,32.0002272920208
"1714",344,0,37,21,58
"1715",346,0,67.5,38.5,20
"1716",349,0,23,13,6
"1717",405,0.00146671395515234,6.5,3.5,44.0000244452326
"1718",350,0.00146671395515234,52,30,22.0000244452326
"1719",358,0,26.5,15.5,30
"1720",343,0.00101060022547184,36,21,24.0000168433371
"1721",359,0.00101060022547184,27.5,15.5,42.0000168433371
"1722",1759,0.0360966576761436,51,30,34.0006016109613
"1723",1753,0.00104407989775198,42,25,38.0000174013316
"1724",1765,0.00244814812987979,45,26,44.0000408024688
"1725",1806,0.0105349682306702,51,29,12.0001755828038
"1726",1803,0.00384413846181063,13,7,22.0000640689744
"1727",1807,0.00384413846181063,25,14,26.0000640689744
"1728",1798,0.0023329508400573,32.5,19.5,18.000038882514
"1729",1797,0,20,11,40
"1730",1808,0.0023329508400573,46.5,26.5,42.000038882514
"1731",1813,0.00294365134203807,50,29,24.0000490608557
"1732",1810,0.0105283127788786,26.5,14.5,50.0001754718797
"1733",276,0.0826512339777894,58,33,20.0013775205663
"1734",96,0.0731435087367156,25,15,42.0012190584789
"1735",100,0,48,27,46
"1736",104,0,55.5,32.5,12
"1737",110,0.00282824380018752,13.5,7.5,42.0000471373967
"1738",115,0,50.5,29.5,46
"1739",118,0,52.5,29.5,40
"1740",127,0,46.5,26.5,20
"1741",117,0.00103137445598362,24,14,44.0000171895743
